,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
548,2017-07-02,2196.268697973877,1366.783454196353,4202.869935215891,2196.268697973877,2196.268697973877,660.333185844054,660.333185844054,660.333185844054,-9.008198420463783,-9.008198420463783,-9.008198420463783,669.3413842645176,669.3413842645176,669.3413842645176,0.0,0.0,0.0,2856.6018838179307
549,2017-07-03,2203.6741274146816,1535.965503184073,4315.073510645796,2203.6741274146816,2203.6741274146816,687.5868558442796,687.5868558442796,687.5868558442796,18.54079506701188,18.54079506701188,18.54079506701188,669.0460607772678,669.0460607772678,669.0460607772678,0.0,0.0,0.0,2891.2609832589615
550,2017-07-04,2211.079556855486,1396.9002265150693,4264.273663824819,2211.079556855486,2211.079556855486,664.476556910871,664.476556910871,664.476556910871,-4.18943979113736,-4.18943979113736,-4.18943979113736,668.6659967020082,668.6659967020082,668.6659967020082,0.0,0.0,0.0,2875.5561137663567
551,2017-07-05,2218.48498629629,1540.5882390511533,4288.727482810729,2218.48498629629,2218.48498629629,669.741972877296,669.741972877296,669.741972877296,1.2871600276722357,1.2871600276722357,1.2871600276722357,668.4548128496237,668.4548128496237,668.4548128496237,0.0,0.0,0.0,2888.2269591735862
552,2017-07-06,2225.890415737095,1388.7829476124173,4250.546064238683,2225.890415737095,2225.890415737095,650.2468578373297,650.2468578373297,650.2468578373297,-18.40608576692818,-18.40608576692818,-18.40608576692818,668.6529436042578,668.6529436042578,668.6529436042578,0.0,0.0,0.0,2876.1372735744244
553,2017-07-07,2233.295845177899,1489.6905774636427,4331.252871143541,2233.295845177899,2233.295845177899,666.0693902963134,666.0693902963134,666.0693902963134,-3.41422174212867,-3.41422174212867,-3.41422174212867,669.4836120384422,669.4836120384422,669.4836120384422,0.0,0.0,0.0,2899.3652354742126
554,2017-07-08,2240.701274618703,1559.7518358631742,4325.381591471644,2240.701274618703,2240.701274618703,686.3396132441632,686.3396132441632,686.3396132441632,15.189990625950829,15.189990625950829,15.189990625950829,671.1496226182123,671.1496226182123,671.1496226182123,0.0,0.0,0.0,2927.040887862866
555,2017-07-09,2248.1067040595076,1489.002839574146,4326.878461234037,2248.1067040595076,2248.1067040595076,664.8227973697511,664.8227973697511,664.8227973697511,-9.008198420476331,-9.008198420476331,-9.008198420476331,673.8309957902273,673.8309957902273,673.8309957902273,0.0,0.0,0.0,2912.929501429259
556,2017-07-10,2255.512133500312,1610.518879741612,4292.44239822181,2255.512133500312,2255.512133500312,696.2242322269786,696.2242322269786,696.2242322269786,18.540795067021506,18.540795067021506,18.540795067021506,677.6834371599572,677.6834371599572,677.6834371599572,0.0,0.0,0.0,2951.7363657272904
557,2017-07-11,2262.9175629411166,1599.6893188742697,4396.200942680036,2262.9175629411166,2262.9175629411166,678.6481644302829,678.6481644302829,678.6481644302829,-4.189439791133832,-4.189439791133832,-4.189439791133832,682.8376042214168,682.8376042214168,682.8376042214168,0.0,0.0,0.0,2941.5657273713996
558,2017-07-12,2270.322992381921,1459.2009072479518,4322.048619792279,2270.322992381921,2270.322992381921,690.686266702847,690.686266702847,690.686266702847,1.2871600275710315,1.2871600275710315,1.2871600275710315,689.399106675276,689.399106675276,689.399106675276,0.0,0.0,0.0,2961.009259084768
559,2017-07-13,2277.7284218227246,1583.0882824601658,4388.2491194737195,2277.7284218227246,2277.7284218227246,679.0430673819452,679.0430673819452,679.0430673819452,-18.40608576700565,-18.40608576700565,-18.40608576700565,697.4491531489508,697.4491531489508,697.4491531489508,0.0,0.0,0.0,2956.7714892046697
